 Category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Air Travel,0,0,0,0,0,0,0,0,0,0,0,0
"Insurance: HO, Car, Umbrella",471,942,1413,1884,2355,2826,3297,3768,4239,4710,5181,5652
Auto Payment,848,1697,2545,3394,4242,5091,5939,6788,7636,8485,9333,10181
Bank Fee,13,25,38,50,63,75,88,100,113,125,138,150
CableTV/Internet,155,310,465,620,775,930,1085,1240,1395,1550,1705,1860
Cash & ATM,217,433,650,867,1083,1300,1517,1733,1950,2167,2383,2600
Charity,42,83,125,167,208,250,292,333,375,417,458,500
Clothing,417,833,1250,1667,2083,2500,2917,3333,3750,4167,4583,5000
Dentist,167,333,500,667,833,1000,1167,1333,1500,1667,1833,2000
Doctor,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000
Education,0,0,0,0,0,0,0,0,0,0,0,0
Electricity,297,594,891,1188,1485,1782,2078,2375,2672,2969,3266,3563
Electronics & Software,208,417,625,833,1042,1250,1458,1667,1875,2083,2292,2500
Entertainment,50,100,150,200,250,300,350,400,450,500,550,600
Eyecare,17,33,50,67,83,100,117,133,150,167,183,200
Furnishings,150,300,450,600,750,900,1050,1200,1350,1500,1650,1800
Gas & Fuel,125,250,375,500,625,750,875,1000,1125,1250,1375,1500
Gift,42,83,125,167,208,250,292,333,375,417,458,500
Groceries,750,1500,2250,3000,3750,4500,5250,6000,6750,7500,8250,9000
Gym,75,151,226,302,377,453,528,603,679,754,830,905
Health Insurance,1300,2600,3900,5200,6500,7800,9100,10400,11700,13000,14300,15600
Home Improvement,833,1667,2500,3333,4167,5000,5833,6667,7500,8333,9167,10000
Home Phone,56,113,169,225,281,338,394,450,506,563,619,675
Home Repair,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000
Housecleaning,364,729,1093,1457,1822,2186,2550,2915,3279,3643,4008,4372
Household,192,383,575,767,958,1150,1342,1533,1725,1917,2108,2300
Household:Exterminator,33,67,100,133,167,200,233,267,300,333,367,400
JDC Planning,0,0,0,0,0,0,0,0,0,0,0,0
Laundry,6,12,18,23,29,35,41,47,53,58,64,70
Lawn & Garden,83,167,250,333,417,500,583,667,750,833,917,1000
Leisure,25,50,75,100,125,150,175,200,225,250,275,300
Loan,0,0,0,0,0,0,0,0,0,0,0,0
Misc,167,333,500,667,833,1000,1167,1333,1500,1667,1833,2000
Mobile Phone,218,437,655,873,1092,1310,1528,1747,1965,2183,2402,2620
Mortgage & Rent,0,0,0,0,0,0,0,0,0,0,0,0
Movies & DVDs,23,45,68,90,113,136,158,181,203,226,248,271
Music,28,57,85,113,142,170,198,227,255,283,312,340
Office Supplies,28,56,84,112,140,168,196,224,252,280,308,336
Personal Care,150,300,450,600,750,900,1050,1200,1350,1500,1650,1800
Pets,0,0,0,0,0,0,0,0,0,0,0,0
Pharmacy,67,133,200,267,333,400,467,533,600,667,733,800
Pool,108,217,325,433,542,650,758,867,975,1083,1192,1300
Prescription,67,133,200,267,333,400,467,533,600,667,733,800
Reading,158,317,475,633,792,950,1108,1267,1425,1583,1742,1900
Restaurants,1417,2833,4250,5667,7083,8500,9917,11333,12750,14167,15583,17000
Service & Parts,83,167,250,333,417,500,583,667,750,833,917,1000
Shipping,18,37,55,73,91,110,128,146,164,183,201,219
Shopping,542,1083,1625,2167,2708,3250,3792,4333,4875,5417,5958,6500
State Tax,583,1167,1750,2333,2917,3500,4083,4667,5250,5833,6417,7000
Tax,0,0,0,0,0,0,0,0,0,0,0,0
Tax Preparation,56,112,168,223,279,335,391,447,503,558,614,670
Tax(Property) Home,1977,3954,5931,7908,9885,11862,13839,15816,17354,18892,20430,21968
Tax(Car Property),0,0,0,0,0,0,0,0,0,0,0,0
Vacation,0,0,0,0,0,0,0,0,0,0,0,0
Water,150,300,450,600,750,900,1050,1200,1350,1500,1650,1800
