Date,Year,Month,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
08/13/15,2015,8,Amazon,AMAZON MKTPLACE PMTS,9.9,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
08/13/15,2015,8,Open Eye Cafe,OPEN EYE CAFE,10,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/13/15,2015,8,Weaver Street Market,WEAVER STREET MARKET - N,57.38,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/13/15,2015,8,Caju,Caju Salon,72,debit,Personal Care,Fidelity Investments Investment Rewards Signature Visa,,
08/13/15,2015,8,Wpc Digitalsubcription,WPC*DIGITALSUBCRIPTION,9.99,debit,Uncategorized,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Mimi's Cafe,MIMI'S CAFE,47.33,debit,Restaurants,Costco AmEx,,
08/14/15,2015,8,Southeast Toyota,SOUTHEAST TOY ONLINE PMT 150814,357.45,debit,Service & Parts,Schwab,,
08/14/15,2015,8,State Farm Bank Online,STATE FARM INS ONLINE PMT 150814,180.55,debit,Auto Payment,Schwab,,
08/14/15,2015,8,State Farm Bank Online,STATE FARM BANK ONLINE PMT 150814,491.99,debit,Auto Payment,Schwab,,
08/14/15,2015,8,Interest,INTEREST PAYMENT,0.11,credit,Interest Income,Wells Fargo Checking Acct,,
08/12/15,2015,8,Patrick Janes Gourmet,PATRICK JANES GOURMET CARY NC,54.67,debit,Restaurants,COLLEGE CARD,,
08/12/15,2015,8,Kroger,KROGER #342 CARY NC,5.33,debit,Groceries,COLLEGE CARD,,
08/12/15,2015,8,Kitshack Limited Potters,"KITSHACK LIMITED POTTERS BAR, #00000",37.25,debit,Alcohol & Bars,Schwab,,
08/12/15,2015,8,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,13,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/12/15,2015,8,Marathon,MARATHON PETRO131680D MARCHAPEL HILL NC,10.24,debit,Gas & Fuel,Fidelity Investments Investment Rewards Signature Visa,,
08/12/15,2015,8,Sirius Radio,SXM*SIRIUSXM.COM/ACCT 888-635-5144 NY,18.35,debit,Music,Fidelity Investments Investment Rewards Signature Visa,,
08/12/15,2015,8,Papa John's,PAPA JOHN'S #00887.COM 317-826-9595 NC,25.16,debit,Fast Food,Fidelity Investments Investment Rewards Signature Visa,,
08/12/15,2015,8,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC,67.17,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/12/15,2015,8,Home Depot,THE HOME DEPOT 3620 DURHAM NC,14.84,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/12/15,2015,8,Harris Teeter,HARRIS TEETER #0297 CARRBORO NC,20.34,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/11/15,2015,8,Deposit,Electronic Deposit,30000,credit,Income,Schwab,,
